counter,sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,timestamp,key_press
30,-229.50001525878906,119.25000762939453,196.02000427246094,-139.0500030517578,-114.30000305175781,365.41998291015625,0.9000000357627869,-27.750001907348633,345.333984375,65.70000457763672,-52.650001525878906,387.4419860839844,-255.45001220703125,94.35000610351562,305.64599609375,-66.45000457763672,237.60000610351562,373.64801025390625,18.30000114440918,328.6500244140625,373.16400146484375,55.20000076293945,375.3000183105469,407.7699890136719,1756211923.557475,none
31,-234.00001525878906,122.70000457763672,203.7639923095703,-140.85000610351562,-120.75000762939453,369.53399658203125,1.8000000715255737,-24.600000381469727,340.2519836425781,67.5,-56.55000305175781,378.4880065917969,-258.0,96.75000762939453,306.6139831542969,-75.75,237.00001525878906,364.2099914550781,17.25,332.25,359.12799072265625,53.55000305175781,369.45001220703125,403.89801025390625,1756211923.5614736,none
32,-232.8000030517578,127.50000762939453,186.82400512695312,-134.85000610351562,-118.80000305175781,365.1780090332031,-0.15000000596046448,-30.750001907348633,340.4939880371094,66.1500015258789,-50.400001525878906,390.10400390625,-252.3000030517578,95.25,313.3899841308594,-72.30000305175781,231.15000915527344,371.9540100097656,18.75,325.5,368.5660095214844,55.650001525878906,375.9000244140625,401.7200012207031,1756211923.5646574,none
33,-234.60000610351562,124.95000457763672,198.68199157714844,-140.10000610351562,-123.75000762939453,365.90399169921875,0.15000000596046448,-24.30000114440918,341.4620056152344,69.75,-49.80000305175781,384.0539855957031,-254.25001525878906,96.75000762939453,307.8240051269531,-69.0,237.00001525878906,370.7439880371094,13.500000953674316,331.0500183105469,366.38800048828125,60.30000305175781,367.6500244140625,404.6239929199219,1756211923.5686707,none
34,-232.35000610351562,127.80000305175781,199.16600036621094,-139.65000915527344,-119.10000610351562,378.2460021972656,2.1000001430511475,-20.850000381469727,349.20599365234375,70.20000457763672,-49.650001525878906,388.1679992675781,-260.1000061035156,99.30000305175781,310.0019836425781,-75.0,238.35000610351562,360.8219909667969,15.000000953674316,328.6500244140625,356.95001220703125,56.70000076293945,370.20001220703125,399.0579833984375,1756211923.5736594,none
35,-238.95001220703125,123.60000610351562,195.052001953125,-139.0500030517578,-118.50000762939453,363.9679870605469,-1.350000023841858,-25.500001907348633,346.54400634765625,72.45000457763672,-49.650001525878906,390.10400390625,-257.70001220703125,100.6500015258789,319.44000244140625,-76.35000610351562,240.15000915527344,360.5799865722656,13.65000057220459,324.9000244140625,363.24200439453125,53.10000228881836,373.8000183105469,399.29998779296875,1756211923.5777464,none
36,-232.8000030517578,114.45000457763672,197.95599365234375,-139.95001220703125,-114.60000610351562,373.16400146484375,0.45000001788139343,-29.700000762939453,344.8500061035156,66.0,-50.250003814697266,398.0899963378906,-265.3500061035156,99.00000762939453,318.2300109863281,-79.35000610351562,239.25001525878906,364.2099914550781,16.80000114440918,329.25,363.72601318359375,54.30000305175781,371.4000244140625,405.1080017089844,1756211923.5807464,none
37,-232.65000915527344,122.70000457763672,200.6179962158203,-133.35000610351562,-119.10000610351562,370.5019836425781,-3.0,-32.25,344.3659973144531,69.30000305175781,-49.500003814697266,388.4100036621094,-262.5,95.85000610351562,308.3079833984375,-70.6500015258789,239.85000610351562,376.552001953125,15.450000762939453,328.8000183105469,367.3559875488281,54.45000076293945,373.6500244140625,406.07598876953125,1756211923.5849602,none
38,-228.60000610351562,118.95000457763672,207.63600158691406,-137.10000610351562,-118.80000305175781,370.5019836425781,-0.6000000238418579,-28.05000114440918,340.9779968261719,66.60000610351562,-46.20000076293945,390.34600830078125,-263.70001220703125,97.50000762939453,315.80999755859375,-79.35000610351562,234.45001220703125,367.8399963378906,17.700000762939453,319.8000183105469,370.260009765625,54.000003814697266,363.0,406.07598876953125,1756211923.5889719,none
39,-235.8000030517578,120.45000457763672,203.03799438476562,-135.75,-120.00000762939453,371.2279968261719,-3.0,-25.05000114440918,344.8500061035156,68.70000457763672,-51.000003814697266,388.4100036621094,-265.8000183105469,97.05000305175781,308.7919921875,-74.25,231.3000030517578,357.9179992675781,19.650001525878906,328.5,361.5480041503906,55.95000076293945,372.1500244140625,407.04400634765625,1756211923.5934763,none
40,-231.45001220703125,122.85000610351562,191.66400146484375,-138.90000915527344,-117.60000610351562,368.5660095214844,-0.45000001788139343,-27.900001525878906,342.91400146484375,67.20000457763672,-41.25,386.23199462890625,-257.70001220703125,89.85000610351562,307.0979919433594,-69.0,235.50001525878906,369.7760009765625,18.30000114440918,327.1500244140625,366.14599609375,52.05000305175781,373.20001220703125,410.67401123046875,1756211923.5974813,none
41,-232.20001220703125,127.35000610351562,196.9879913330078,-140.10000610351562,-116.10000610351562,377.0360107421875,-1.6500000953674316,-27.450000762939453,354.7720031738281,68.10000610351562,-53.70000076293945,383.81201171875,-258.45001220703125,99.9000015258789,314.8420104980469,-75.45000457763672,237.00001525878906,364.9360046386719,16.200000762939453,327.75,363.4840087890625,49.95000076293945,370.20001220703125,400.0260009765625,1756211923.6014822,none
